trial,stimulus,prime,word,responsetime,accuracy
900,58,NL2,dismal,474,1
901,24,PL1,arrest,594,1
902,51,NL1,fatal,468,1
903,10,PH2,payday,317,1
904,31,PL2,fatal,371,2
905,33,NH1,fatal,409,1
906,54,NL1,comfy,740,1
907,57,NL2,morgue,733,1
908,49,NL1,morgue,374,1
909,44,NH2,dismal,391,1
910,50,NL1,dismal,448,1
911,18,PL1,comfy,506,1
912,47,NH2,relax,578,1
913,48,NH2,comfy,520,1
914,16,PH2,dismal,607,1
915,21,PL1,morgue,767,1
916,8,PH1,dismal,504,1
917,5,PH1,fatal,546,1
918,34,NH1,arrest,458,1
919,1,PH1,excite,580,1
920,30,PL2,dismal,822,1
921,53,NL1,relax,551,1
922,64,NL2,payday,511,1
923,45,NH2,excite,449,1
924,62,NL2,comfy,468,2
925,13,PH2,fatal,552,1
926,23,PL1,fatal,461,1
927,40,NH1,comfy,502,1
928,20,PL1,payday,481,1
929,42,NH2,arrest,579,1
930,63,NL2,excite,508,1
931,43,NH2,morgue,530,1
932,12,PH2,comfy,280,1
933,29,PL2,morgue,505,1
934,36,NH1,dismal,500,1
935,7,PH1,morgue,644,1
936,55,NL1,excite,563,1
937,60,NL2,arrest,470,1
938,27,PL2,excite,451,1
939,39,NH1,relax,433,1
940,9,PH2,excite,348,1
941,32,PL2,arrest,612,1
942,35,NH1,morgue,579,1
943,11,PH2,relax,325,1
944,52,NL1,arrest,663,1
945,4,PH1,comfy,436,1
946,6,PH1,arrest,440,1
947,28,PL2,payday,414,1
948,61,NL2,relax,565,1
949,56,NL1,payday,518,1
950,37,NH1,excite,419,1
951,2,PH1,payday,305,2
952,25,PL2,relax,422,1
953,14,PH2,arrest,340,2
954,19,PL1,excite,564,1
955,26,PL2,comfy,506,1
956,38,NH1,payday,461,1
957,15,PH2,morgue,564,1
958,23,PL1,fatal,682,1
959,41,NH2,fatal,726,1
960,15,PH2,morgue,748,1
961,54,NL1,comfy,728,1
962,55,NL1,excite,764,1
963,27,PL2,excite,543,1
964,51,NL1,fatal,705,1
965,45,NH2,excite,637,1
966,5,PH1,fatal,600,1
967,4,PH1,comfy,634,1
968,21,PL1,morgue,659,1
969,58,NL2,dismal,748,1
970,30,PL2,dismal,594,1
971,50,NL1,dismal,645,1
972,16,PH2,dismal,565,1
973,62,NL2,comfy,632,1
974,22,PL1,dismal,632,1
975,43,NH2,morgue,608,1
976,38,NH1,payday,810,1
977,63,NL2,excite,572,1
978,59,NL2,fatal,575,1
979,20,PL1,payday,525,1
980,61,NL2,relax,727,1
981,40,NH1,comfy,482,1
982,17,PL1,relax,547,1
983,34,NH1,arrest,821,1
984,28,PL2,payday,840,1
985,2,PH1,payday,569,1
986,13,PH2,fatal,566,1
987,57,NL2,morgue,641,1
988,9,PH2,excite,644,1
989,7,PH1,morgue,692,1
990,52,NL1,arrest,733,1
991,33,NH1,fatal,624,1
992,47,NH2,relax,750,1
993,49,NL1,morgue,704,1
994,1,PH1,excite,574,1
995,18,PL1,comfy,665,1
996,48,NH2,comfy,526,1
997,19,PL1,excite,623,1
998,39,NH1,relax,632,1
999,14,PH2,arrest,649,1
1000,53,NL1,relax,536,1
1001,12,PH2,comfy,557,1
1002,64,NL2,payday,692,1
1003,46,NH2,payday,538,1
1004,10,PH2,payday,383,1
1005,3,PH1,relax,670,1
1006,11,PH2,relax,496,1
1007,44,NH2,dismal,826,1
1008,36,NH1,dismal,608,1
1009,29,PL2,morgue,651,1
1010,6,PH1,arrest,755,1
1011,25,PL2,relax,687,1
1012,35,NH1,morgue,604,1
1013,26,PL2,comfy,562,1
1014,32,PL2,arrest,621,1
1015,37,NH1,excite,575,1
1016,8,PH1,dismal,562,1
1017,24,PL1,arrest,573,1
1018,49,NL1,morgue,632,1
1019,64,NL2,payday,633,1
1020,22,PL1,dismal,573,1
1021,62,NL2,comfy,525,1
1022,20,PL1,payday,572,1
1023,35,NH1,morgue,608,1
1024,12,PH2,comfy,515,1
1025,47,NH2,relax,630,1
1026,45,NH2,excite,570,2
1027,31,PL2,fatal,575,1
1028,30,PL2,dismal,686,1
1029,39,NH1,relax,530,1
1030,59,NL2,fatal,626,1
1031,14,PH2,arrest,599,1
1032,40,NH1,comfy,556,1
1033,60,NL2,arrest,573,1
1034,16,PH2,dismal,584,1
1035,7,PH1,morgue,574,1
1036,29,PL2,morgue,684,1
1037,55,NL1,excite,667,1
1038,43,NH2,morgue,543,1
1039,54,NL1,comfy,587,1
1040,44,NH2,dismal,560,1
1041,3,PH1,relax,613,1
1042,21,PL1,morgue,542,1
1043,1,PH1,excite,613,1
1044,46,NH2,payday,558,1
1045,32,PL2,arrest,544,1
1046,18,PL1,comfy,667,1
1047,56,NL1,payday,602,1
1048,50,NL1,dismal,481,1
1049,23,PL1,fatal,642,1
1050,19,PL1,excite,686,1
1051,28,PL2,payday,544,1
1052,26,PL2,comfy,499,1
1053,15,PH2,morgue,546,1
1054,10,PH2,payday,541,1
1055,11,PH2,relax,629,1
1056,48,NH2,comfy,487,1
1057,27,PL2,excite,591,1
1058,38,NH1,payday,514,1
1059,33,NH1,fatal,606,1
1060,8,PH1,dismal,512,1
1061,25,PL2,relax,616,1
1062,4,PH1,comfy,486,1
1063,52,NL1,arrest,586,1
1064,5,PH1,fatal,722,1
1065,57,NL2,morgue,571,1
1066,53,NL1,relax,641,1
1067,9,PH2,excite,555,1
1068,51,NL1,fatal,622,1
1069,2,PH1,payday,530,1
1070,63,NL2,excite,630,2
1071,37,NH1,excite,672,1
1072,36,NH1,dismal,572,1
1073,34,NH1,arrest,573,1
1074,58,NL2,dismal,458,1
1075,41,NH2,fatal,717,1
1076,17,PL1,relax,546,1
1077,42,NH2,arrest,540,1
1078,24,PL1,arrest,429,1
1079,6,PH1,arrest,457,1
1080,13,PH2,fatal,670,1
1081,61,NL2,relax,660,1
1082,39,NH1,relax,359,2
1083,41,NH2,fatal,566,1
1084,62,NL2,comfy,545,1
1085,25,PL2,relax,669,1
1086,27,PL2,excite,719,1
1087,29,PL2,morgue,705,1
1088,10,PH2,payday,849,1
1089,5,PH1,fatal,578,1
1090,38,NH1,payday,884,1
1091,64,NL2,payday,820,1
1092,28,PL2,payday,509,1
1093,23,PL1,fatal,803,1
1094,57,NL2,morgue,520,1
1095,21,PL1,morgue,446,1
1096,12,PH2,comfy,522,1
1097,24,PL1,arrest,789,1
1098,17,PL1,relax,626,1
1099,53,NL1,relax,727,1
1100,43,NH2,morgue,640,1
1101,56,NL1,payday,617,1
1102,9,PH2,excite,587,1
1103,34,NH1,arrest,1028,1
1104,2,PH1,payday,528,1
1105,36,NH1,dismal,536,1
1106,33,NH1,fatal,556,1
1107,6,PH1,arrest,549,1
1108,31,PL2,fatal,426,1
1109,7,PH1,morgue,506,1
1110,26,PL2,comfy,569,1
1111,16,PH2,dismal,529,1
1112,3,PH1,relax,629,1
1113,42,NH2,arrest,558,1
